2009-12-08T17:40:09,P1,2387.889,0.248
2009-12-08T17:41:15,P1,2387.892,0.277
2009-12-08T17:42:20,P1,2387.894,0.316
2009-12-08T17:43:25,P1,2387.896,0.297
2009-12-08T17:44:31,P1,2387.894,0.321
2009-12-08T19:08:07,205YY,2415.069,0.344
2009-12-08T19:09:13,205YY,2415.058,0.401
2009-12-08T19:10:18,205YY,2415.048,0.407
2009-12-08T19:11:23,205YY,2415.047,0.396
2009-12-08T19:12:29,205YY,2415.041,0.704
2009-12-08T19:32:54,HVO41,2417.695,0.304
2009-12-08T19:34:00,HVO41,2417.682,0.668
2009-12-08T19:35:05,HVO41,2417.674,0.725
2009-12-08T19:36:10,HVO41,2417.666,0.275
2009-12-08T19:37:16,HVO41,2417.659,0.406
2009-12-08T19:57:16,82-501,2419.994,0.559
2009-12-08T19:58:22,82-501,2419.991,0.549
2009-12-08T19:59:27,82-501,2419.988,0.541
2009-12-08T20:00:32,82-501,2419.983,0.424
2009-12-08T20:01:38,82-501,2419.982,0.38
2009-12-08T20:33:26,HVO44,2425.52,0.552
2009-12-08T20:34:32,HVO44,2425.522,0.416
2009-12-08T20:35:37,HVO44,2425.517,0.523
2009-12-08T20:36:42,HVO44,2425.518,0.432
2009-12-08T20:37:48,HVO44,2425.533,0.398
2009-12-08T20:59:08,110YY,2426.669,0.421
2009-12-08T21:00:14,110YY,2426.675,0.53
2009-12-08T21:01:19,110YY,2426.68,0.493
2009-12-08T21:02:24,110YY,2426.673,0.535
2009-12-08T21:03:30,110YY,2426.68,0.413
2009-12-08T21:23:27,HVO45,2426.777,0.492
2009-12-08T21:24:33,HVO45,2426.766,0.399
2009-12-08T21:25:38,HVO45,2426.763,0.483
2009-12-08T21:26:43,HVO45,2426.759,0.493
2009-12-08T21:27:49,HVO45,2426.758,0.371
2009-12-08T21:54:43,109YY,2428.118,0.285
2009-12-08T21:55:49,109YY,2428.125,0.348
2009-12-08T21:56:54,109YY,2428.131,0.292
2009-12-08T21:57:59,109YY,2428.12,0.384
2009-12-08T21:59:05,109YY,2428.12,0.317
